2Years,age,30_59days,DebtRatio,90days,60_89days,MonthlyIncome,Dependents,Debt
No,64,0,0.249908,0,0,8158.0,0,2038.749464
No,58,0,3870.0,0,0,6452.263399231191,0,24970259.35502471
No,41,0,0.45612700000000006,0,0,6666.0,0,3040.5425820000005
No,43,0,0.00018999999999999998,0,0,10500.0,2,1.9949999999999999
Yes,49,0,0.27182,0,0,400.0,0,108.72800000000001
No,55,0,0.324678,0,0,8934.0,0,2900.673252
No,25,0,0.473421,0,0,2200.0,0,1041.5262
Yes,31,0,0.017415,0,0,4076.0,0,70.98354
Yes,37,2,0.23371,0,0,7166.0,0,1674.76586
No,55,0,0.420954,0,0,3750.0,0,1578.5774999999999
Yes,53,10,0.33161999999999997,3,1,3500.0,0,1160.6699999999998
No,57,0,0.33716599999999997,0,0,16000.0,0,5394.655999999999
Yes,39,8,0.9611709999999999,0,1,9116.0,1,8762.034835999999
No,61,0,0.549059,0,0,5900.0,1,3239.4480999999996
No,78,0,888.0,0,0,6452.263399231191,0,5729609.898517298
No,58,0,1328.0,0,0,6452.263399231191,2,8568605.794179022
No,30,0,0.41755600000000004,0,0,2904.0,0,1212.5826240000001
No,27,0,10.0,0,0,6452.263399231191,0,64522.63399231191
No,60,0,0.38618600000000003,0,0,9106.0,1,3516.6097160000004
No,26,0,0.07322000000000001,0,1,6500.0,0,475.93000000000006
No,56,0,0.494101,0,0,5000.0,0,2470.505
No,57,0,0.257227,0,0,15600.0,0,4012.7412
No,31,0,0.46300699999999995,0,0,5500.0,1,2546.5384999999997
No,62,0,0.372231,0,0,8577.0,2,3192.625287
No,50,0,0.582908,0,0,8038.0,2,4685.414504
Yes,42,3,1296.0,0,0,6452.263399231191,0,8362133.365403624
No,81,0,0.000678,0,0,5899.0,0,3.999522
No,80,0,0.0,0,0,1600.0,0,0.0
No,73,0,0.11141600000000002,0,0,29133.0,0,3245.8823280000006
Yes,59,5,3252.0,1,0,6452.263399231191,0,20982760.574299835
No,41,1,1421.0,0,0,6452.263399231191,0,9168666.290307522
No,30,0,1513.0,0,0,6452.263399231191,0,9762274.523036793
Yes,48,0,0.402904,0,0,8609.0,4,3468.600536
No,55,0,805.0,0,0,6452.263399231191,0,5194072.036381109
No,29,0,0.224753,0,0,9000.0,0,2022.777
No,69,1,5089.0,0,0,6452.263399231191,0,32835568.438687533
Yes,39,1,0.388264,0,0,12900.0,2,5008.6056
Yes,47,3,2078.0,0,1,6452.263399231191,0,13407803.343602415
No,50,0,0.420138,0,0,4200.0,3,1764.5796
No,25,0,0.020672,0,0,1547.0,1,31.979584
Yes,42,0,2.644356,0,0,1000.0,1,2644.356
No,37,0,0.335494,0,0,14500.0,0,4864.6630000000005
No,71,0,1419.0,0,0,6452.263399231191,0,9155761.763509061
Yes,62,0,0.43473500000000004,0,0,2734.0,0,1188.5654900000002
