,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed(mph),windspeed(ms),cnt
0,1,No,January,No,Saturday,No,2,14.110847,18.18125,80.5833,10.749882000000001,4.80549038891,985
1,1,No,January,No,Sunday,No,2,14.902598000000001,17.68695,69.6087,16.652113,7.443948591860001,801
2,1,No,January,No,Monday,Yes,1,8.050924,9.47025,43.7273,16.636703,7.43705990165,1349
3,1,No,January,No,Tuesday,Yes,1,8.2,10.6061,59.0435,10.739832,4.80099776486,1562
4,1,No,January,No,Wednesday,Yes,1,9.305237,11.4635,43.6957,12.5223,5.5978095663800005,1600
5,1,No,January,No,Thursday,Yes,1,8.378267999999998,11.66045,51.8261,6.0008684,2.6825518104599997,1606
6,1,No,January,No,Friday,Yes,2,8.057402,10.44195,49.8696,11.304642,5.05348323648,1510
7,1,No,January,No,Saturday,No,2,6.765,8.1127,53.5833,17.875868,7.991000447030001,959
8,1,No,January,No,Sunday,No,1,5.671653,5.80875,43.4167,24.25065,10.840701832799999,822
9,1,No,January,No,Monday,Yes,1,6.184153,7.5444,48.2917,14.958889000000001,6.6870312919099995,1321
10,1,No,January,No,Tuesday,Yes,2,6.9327309999999995,9.5732,68.6364,8.182844000000001,3.6579544032199998,1263
11,1,No,January,No,Wednesday,Yes,1,7.081807,8.02365,59.9545,20.410009,9.123830576669999,1162
12,1,No,January,No,Thursday,Yes,1,6.765,7.54415,47.0417,20.167,9.015198927130001,1406
13,1,No,January,No,Friday,Yes,1,6.59567,9.42065,53.7826,8.478716,3.79021725525,1421
14,1,No,January,No,Saturday,No,2,9.566653,12.4056,49.875,10.583521000000001,4.73112248547,1248
15,1,No,January,No,Sunday,No,1,9.498347,11.71085,48.375,12.625011,5.64372418418,1204
16,1,No,January,Yes,Monday,No,2,7.209153,8.83855,53.75,12.999139,5.81096960215,1000
17,1,No,January,No,Tuesday,Yes,2,8.883347,11.61665,86.1667,9.833925,4.39603263299,683
18,1,No,January,No,Wednesday,Yes,2,11.979134,14.9211,74.1739,13.957239000000001,6.2392664282500006,1650
19,1,No,January,No,Thursday,Yes,2,10.728347,12.7525,53.8333,13.125568,5.8674868127,1927
20,1,No,January,No,Friday,Yes,1,7.2775,7.89165,45.7083,23.667214,10.5798900313,1543
21,1,No,January,No,Saturday,No,1,2.4243464,3.9534800000000003,40.0,11.521989999999999,5.15064371927,981
22,1,No,January,No,Sunday,No,1,3.9573897000000002,4.941955,43.6522,16.5222,7.3858739383100005,986
23,1,No,January,No,Monday,Yes,1,3.9930432999999996,5.8965,49.1739,10.60811,4.74211443898,1416
24,1,No,January,No,Tuesday,Yes,2,9.162598,11.7263,61.6957,8.696332,3.8874975413499997,1985
25,1,No,January,No,Wednesday,Yes,3,8.9175,10.18,86.25,19.68795,8.80105051408,506
26,1,No,January,No,Thursday,Yes,1,7.995,10.985,68.75,7.627078999999999,3.4095122932499997,431
27,1,No,January,No,Friday,Yes,2,8.342597999999999,11.16585,79.3043,8.2611,3.6929369691600002,1167
28,1,No,January,No,Saturday,No,1,8.057402,10.6063,65.1739,9.739455,4.35380196692,1098
29,1,No,January,No,Sunday,No,1,8.877402,12.5161,72.2174,4.9568342,2.21584005364,1096
30,1,No,January,No,Monday,Yes,2,7.414153,9.3125,60.375,12.541864,5.60655520787,1501
31,1,No,Febuary,No,Tuesday,Yes,2,7.879134,11.7265,82.9565,3.565271,1.5937733571700001,1360
32,1,No,Febuary,No,Wednesday,Yes,2,10.66,12.72085,77.5417,17.708636,7.91624318283,1526
33,1,No,Febuary,No,Thursday,Yes,1,7.665236999999999,8.8939,43.7826,18.609384,8.31890210103,1550
34,1,No,Febuary,No,Friday,Yes,2,8.663464,11.42935,58.5217,8.565213,3.8288837729100003,1708
35,1,No,Febuary,No,Saturday,No,2,9.566653,12.1529,92.9167,10.792292999999999,4.82444926241,1005
36,1,No,Febuary,No,Sunday,No,1,11.719153,14.58355,56.8333,9.5006,4.24702726866,1623
37,1,No,Febuary,No,Monday,Yes,1,11.138347,15.1829,73.8333,3.0423561,1.36001613768,1712
38,1,No,Febuary,No,Tuesday,Yes,1,9.054153,9.9123,53.7917,24.25065,10.840701832799999,1530
39,1,No,Febuary,No,Wednesday,Yes,2,5.526103,7.21415,49.4783,12.652213,5.65588421994,1605
40,1,No,Febuary,No,Thursday,Yes,1,5.918268,7.4774,43.7391,14.869645000000002,6.64713679034,1538
